study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	library_selection	base_count	experiment_alias	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias
PRJEB35943	SAMEA6435169	ERS4201363	ERX3775684	ERR3773807	ERA2330397	381124	Zea mays subsp. mays	PolyA	3741730040	E-MTAB-8628:MN01011_p	E-MTAB-8628:B73_8DAS_root_MN01011_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/007/ERR3773807/ERR3773807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/007/ERR3773807/ERR3773807_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773807/B73_8DAS_root_MN01011_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773807/B73_8DAS_root_MN01011_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/007/ERR3773807	E-MTAB-8628:MN01011
PRJEB35943	SAMEA6435170	ERS4201364	ERX3775685	ERR3773808	ERA2330397	381124	Zea mays subsp. mays	PolyA	4333329240	E-MTAB-8628:MN01012_p	E-MTAB-8628:B73_8DAS_root_MN01012_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/008/ERR3773808/ERR3773808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/008/ERR3773808/ERR3773808_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773808/B73_8DAS_root_MN01012_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773808/B73_8DAS_root_MN01012_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/008/ERR3773808	E-MTAB-8628:MN01012
PRJEB35943	SAMEA6435176	ERS4201370	ERX3775691	ERR3773814	ERA2330397	381124	Zea mays subsp. mays	PolyA	5572499254	E-MTAB-8628:MN01042_p	E-MTAB-8628:B73_V11_middle_MN01042_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/004/ERR3773814/ERR3773814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/004/ERR3773814/ERR3773814_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773814/B73_V11_middle_MN01042_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773814/B73_V11_middle_MN01042_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/004/ERR3773814	E-MTAB-8628:MN01042
PRJEB35943	SAMEA6435171	ERS4201365	ERX3775686	ERR3773809	ERA2330397	381124	Zea mays subsp. mays	PolyA	4515064342	E-MTAB-8628:MN01021_p	E-MTAB-8628:B73_8DAS_shoot_MN01021_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/009/ERR3773809/ERR3773809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/009/ERR3773809/ERR3773809_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773809/B73_8DAS_shoot_MN01021_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773809/B73_8DAS_shoot_MN01021_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/009/ERR3773809	E-MTAB-8628:MN01021
PRJEB35943	SAMEA6435173	ERS4201367	ERX3775688	ERR3773811	ERA2330397	381124	Zea mays subsp. mays	PolyA	4233914974	E-MTAB-8628:MN01031_p	E-MTAB-8628:B73_V11_base_MN01031_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/001/ERR3773811/ERR3773811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/001/ERR3773811/ERR3773811_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773811/B73_V11_base_MN01031_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773811/B73_V11_base_MN01031_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/001/ERR3773811	E-MTAB-8628:MN01031
PRJEB35943	SAMEA6435179	ERS4201373	ERX3775694	ERR3773817	ERA2330397	381124	Zea mays subsp. mays	PolyA	3360999525	E-MTAB-8628:MN01052_p	E-MTAB-8628:B73_V11_tip_MN01052_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/007/ERR3773817/ERR3773817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/007/ERR3773817/ERR3773817_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773817/B73_V11_tip_MN01052_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773817/B73_V11_tip_MN01052_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/007/ERR3773817	E-MTAB-8628:MN01052
PRJEB35943	SAMEA6435185	ERS4201379	ERX3775700	ERR3773823	ERA2330397	381124	Zea mays subsp. mays	PolyA	3497586848	E-MTAB-8628:MN01082_p	E-MTAB-8628:B73_R1_anther_MN01082_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/003/ERR3773823/ERR3773823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/003/ERR3773823/ERR3773823_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773823/B73_R1_anther_MN01082_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773823/B73_R1_anther_MN01082_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/003/ERR3773823	E-MTAB-8628:MN01082
PRJEB35943	SAMEA6435187	ERS4201381	ERX3775702	ERR3773825	ERA2330397	381124	Zea mays subsp. mays	PolyA	4138527521	E-MTAB-8628:MN01092_p	E-MTAB-8628:B73_16DAP_endosperm_MN01092_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/005/ERR3773825/ERR3773825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/005/ERR3773825/ERR3773825_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773825/B73_16DAP_endosperm_MN01092_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773825/B73_16DAP_endosperm_MN01092_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/005/ERR3773825	E-MTAB-8628:MN01092
PRJEB35943	SAMEA6435188	ERS4201382	ERX3775703	ERR3773826	ERA2330397	381124	Zea mays subsp. mays	PolyA	3890162590	E-MTAB-8628:MN01101_p	E-MTAB-8628:B73_16DAP_embryo_MN01101_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/006/ERR3773826/ERR3773826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/006/ERR3773826/ERR3773826_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773826/B73_16DAP_embryo_MN01101_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773826/B73_16DAP_embryo_MN01101_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/006/ERR3773826	E-MTAB-8628:MN01101
PRJEB35943	SAMEA6435172	ERS4201366	ERX3775687	ERR3773810	ERA2330397	381124	Zea mays subsp. mays	PolyA	5319728528	E-MTAB-8628:MN01022_p	E-MTAB-8628:B73_8DAS_shoot_MN01022_R	ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/000/ERR3773810/ERR3773810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR377/000/ERR3773810/ERR3773810_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773810/B73_8DAS_shoot_MN01022_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR377/ERR3773810/B73_8DAS_shoot_MN01022_R2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR377/000/ERR3773810	E-MTAB-8628:MN01022
