	0	1	2	3	4	5
0	B73	rep1	corrected	S2	R2	001
1	B73	rep2	corrected	S4	R2	001
2	B73	rep3	2	S1	R2	001
3	B73	root	rep1	corrected	R2	001
4	B73	root	rep2	R2	001	
5	B73	tassel	rep1	R2	001	
6	B73	tassel	rep2	R2	001	
7	B73Ab10	rep1	2	S2	R2	001
8	B73Ab10	rep2	corrected	S3	R2	001
9	B73Ab10	rep3	corrected	S5	R2	001
10	B97	rep1	S2	L001	R2	001
11	B97	rep1	S2	L002	R2	001
12	B97	rep1	S2	L003	R2	001
13	B97	rep1	S2	L004	R2	001
14	B97	rep2	S2	R2	001	
15	CML103	rep1	S2	R2	001	
16	CML103	rep1	reseq	R2	001	
17	CML103	rep	3	R2	001	
18	CML228	rep1	S3	R2	001	
19	CML228	rep2	2	R2	001	
20	CML247	rep1	S4	L001	R2	001
21	CML247	rep1	S4	L002	R2	001
22	CML247	rep1	S4	L003	R2	001
23	CML247	rep1	S4	L004	R2	001
24	CML247	rep2	2	R2	001	
25	CML247	rep3	R2	001		
26	CML247	root	rep1	R2	001	
27	CML247	root	rep2	corrected	R2	001
28	CML247	root	rep3	R2	001	
29	CML247	tassel	rep1	R2	001	
30	CML247	tassel	rep2	R2	001	
31	CML277	rep1	2	R2	001	
32	CML277	rep2		S3	R2	001
33	CML322	rep1	S1	R2	001	
34	CML322	rep2	S4	R2	001	
35	CML333	rep1	S1	R2	001	
36	CML333	rep2	S4	R2	001	
37	CML52	rep2	2	R2	001	
38	CML52	rep3	R2	001		
39	CML69	rep1	S2	R2	001	
40	CML69	rep3	S4	R2	001	
41	HP301	rep1	R2	001		
42	HP301	rep3	S3	R2	001	
43	IL14H	rep1	S4	R2	001	
44	IL14H	rep2	S4	R2	001	
45	Ki11	rep1	reseq	R2	001	
46	Ki11	rep2	S3	R2	001	
47	Ki11	rep1	S3	R2	001	
48	Ki3	rep1	S3	R2	001	
49	Ki3	rep2	R2	001		
50	KY21	rep1	S3	L001	R2	001
51	KY21	rep1	S3	L002	R2	001
52	KY21	rep1	S3	L003	R2	001
53	KY21	rep1	S3	L004	R2	001
54	Ky21	rep2	S2	R2	001	
55	M162W	rep1	S1	R2	001	
56	M162W	rep1	reseq	R2	001	
57	M162W	rep	3	R2	001	
58	M37W	rep1	S2	R2	001	
59	M37W	rep2	S1	R2	001	
60	Mo18W	rep1	S4	R2	001	
61	Mo18W	rep1	reseq	R2	001	
62	Mo18W	rep2	S1	R2	001	
63	MS71	rep1	S3	R2	001	
64	MS71	rep2	S5	R2	001	
65	NC350	rep1	S2	R2	001	
66	NC350	rep2	S8	R2	001	
67	NC350	rep2	reseq	R2	001	
68	NC358	rep1	S4	R2	001	
69	NC358	rep2	R2	001		
70	Oh43	rep1	S7	R2	001	
71	Oh43	rep2	S4	R2	001	
72	Oh43	rep3	R2	001		
73	Oh43	root	rep1	R2	001	
74	Oh43	tassel	rep1	R2	001	
75	Oh43	tassel	rep2	R2	001	
76	Oh7B	rep1	S1	R2	001	
77	Oh7B	rep2	S3	R2	001	
78	P39	rep1	S7	R2	001	
79	P39	rep2	S3	R2	001	
80	Tx303	rep1	S1	L001	R2	001
81	Tx303	rep1	S1	L002	R2	001
82	Tx303	rep1	S1	L003	R2	001
83	Tx303	rep1	S1	L004	R2	001
84	Tx303	rep2	S1	R2	001	
85	Tzi8	rep1	2	R2	001	
86	Tzi8	rep2	reseq	R2	001	
87	Tzi8	rep2	S2	R2	001	
